Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1982,0.031871224,0.075186374,0.1679663,0.348916962,0.425297847,0.643747165,0.998681674,1.085515902,1.166361975,1.354272964,1.552064357,1.60956385,1.806353252,1.703207717,2.556631711
1983,0.017393809,0.141313627,0.241806885,0.360026274,0.489914366,0.572428132,0.713974694,1.057047615,1.100810545,0.98997982,1.07470938,1.083858965,1.493856997,1.073650592,1.721002384
1984,0.014057076,0.072449458,0.250629338,0.362426062,0.48886538,0.622582099,0.758918998,0.999529461,1.191830006,1.388738724,1.481671874,1.674948189,1.327583196,1.446157361,2.071736997
1985,0.013549291,0.104355437,0.234818632,0.394095063,0.485618114,0.615812039,0.75249829,0.868800603,1.40013969,1.091833069,1.245806038,1.743695044,1.614745772,1.599907499,2.561835063
1986,0.011730163,0.101955014,0.195047263,0.345255066,0.452698721,0.636289459,0.716317818,0.845273957,0.995476252,1.236911227,1.274868436,1.093435016,2.164136591,2.122759889,2.341956381
1987,0.017441665,0.109681581,0.270559811,0.356122108,0.435398589,0.524520272,0.695544842,0.777178395,0.868628883,0.956341492,1.133564145,1.369218529,1.679636286,2.007069233,2.122077698
1988,0.018388785,0.108357895,0.300046639,0.347271938,0.446431093,0.513206002,0.588595774,0.739759188,0.839048308,0.978431141,1.171230429,1.189698431,1.64453364,0.892124582,1.579087376
1989,0.015641812,0.091536768,0.176704531,0.363214382,0.43188785,0.514396298,0.616536393,0.654589781,0.89435365,0.888739562,1.005671382,1.026515557,1.068747725,1.117837174,1.132818272
1990,0.012647961,0.102228442,0.15954771,0.38513389,0.503057712,0.568476505,0.605321716,0.713555653,0.775669527,1.024196736,1.03845261,1.088294635,1.018571313,1.205001789,1.270606541
1991,0.01944445,0.108252507,0.156461855,0.371385691,0.492157904,0.581227863,0.688879628,0.731175096,0.85866908,0.889801421,1.055210286,1.145457672,1.215588093,1.32505156,1.816149229
1992,0.014178377,0.11345733,0.284115607,0.384510047,0.549779557,0.646604274,0.783777712,0.828338326,0.880334834,0.964002276,1.067007408,1.200033561,1.300591383,1.278803243,1.247820486
1993,0.01181974,0.072052892,0.322599842,0.447838099,0.49299942,0.539617152,0.643945921,0.777729118,0.962942526,1.016881171,1.129813689,1.2348227,1.341550225,1.492696122,1.597307955
1994,0.014690312,0.086165247,0.242097182,0.47871877,0.570174017,0.630398491,0.706960632,0.943517669,1.120632495,1.074950268,1.151910529,1.277381101,1.336984662,1.421991783,1.500662578
1995,0.01263642,0.088343474,0.170425206,0.371040279,0.474449019,0.627252046,0.652453729,0.783891458,0.899530746,1.099486156,1.044712268,1.22146508,1.220370972,1.338240679,1.544376132
1996,0.01675515,0.080521231,0.153694442,0.326784333,0.496211995,0.575992597,0.696485161,0.778836405,0.938872965,1.020987554,1.271397706,1.377276768,1.414034977,1.549745135,1.637594543
1997,0.016234995,0.053126079,0.237302202,0.337008535,0.406225331,0.536663279,0.677449172,0.769448281,0.937449508,1.013007556,1.122740689,1.269260611,1.226747727,1.462127718,1.569379946
1998,0.01634109,0.06967323,0.18395847,0.343457052,0.467325173,0.508788998,0.659699297,0.804256054,0.894104274,0.957632151,1.057476431,1.347557658,1.345390004,1.76386784,1.809621337
1999,0.014215979,0.079683911,0.216061934,0.353778771,0.416892653,0.557486817,0.631061691,0.761673688,0.961408199,0.985861873,1.074576216,1.161973729,1.519407284,1.725116384,1.868934275
2000,0.01046947,0.062744664,0.239769422,0.374622247,0.447404517,0.517588065,0.642992422,0.701421721,0.769493627,0.943930509,1.127326,1.188505227,1.299610672,1.436332035,1.810123968
2001,0.016224849,0.068509007,0.165574302,0.375526689,0.502198922,0.598478222,0.670413334,0.76372212,0.852253043,0.905657722,1.09306099,1.193116283,1.402188147,1.383885119,1.679810607
2002,0.011467951,0.097455911,0.256041201,0.378668365,0.511936292,0.63415806,0.66269649,0.798329833,0.890662624,0.927567666,0.938674132,1.100236058,1.195096833,1.400508004,1.864319147
2003,0.020553809,0.106301254,0.34071357,0.431101045,0.567624167,0.687699017,0.744669538,0.849112783,0.903518873,0.963793721,0.969339234,1.018760513,1.02541601,1.119599235,1.187132202
2004,0.019404381,0.099154638,0.305125979,0.480130747,0.554073566,0.676394254,0.751544275,0.782959048,0.933529769,0.940873734,1.027809789,1.03466438,1.107471945,1.320152974,1.375913273
2005,0.018445775,0.078518394,0.240513496,0.391287336,0.510362644,0.583253824,0.68831302,0.792107211,0.862327471,0.90140993,1.005624768,1.058454598,1.089917332,1.186867297,1.31729541
2006,0.00931117,0.08132745,0.14851422,0.375315876,0.514662519,0.605154692,0.716904927,0.803342831,0.896460659,1.027403783,1.070192948,1.153412765,1.25485842,1.230598102,1.329210005
2007,0.012229249,0.095294788,0.311736257,0.443167691,0.547936238,0.668329075,0.771247587,0.837861801,0.915181194,1.059712693,1.108413383,1.089317951,1.275554786,1.266667186,1.372976988
