# log_sd_coh:
-1.91154290398
# log_sd_yr:
-1.03818633545
#  log_sd_coh 
#-1.98727706842
#  log_sd_yr 
#-0.924404021297
#log_sd_coh 
#-1.8911e+00
#log_sd_yr  
#-2.2626e+00 
#	Datafile	created	in	R																																
#cur_yr																																				
2018																																				
#styr...good	idea	perhaps	to	have	this	started	well	before	data	to	get	cohort	effects	involved...no	fancy	indexing	to	get	1st-year																	
#	of	data	indexing	to	work																															
1970																																				
#endyr																																				
2020																																				
#N_data_sets																																				
2																																				
#N_yrs_data_sets																																				
27																																				
37																																				
#yrs_data																																				
#Fshry																																				
1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017										
#survey_1																																				
1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
#Age_st																																				
3																																				
#Age_end																																				
15																																				
#fishery																																				
0.285831903	0.4763462	0.604388244	0.72757859	0.838658917	0.873304053	1.013929617	1.126930891	1.12934103	1.25103857	1.23982614	1.30809624	1.24930709																								
0.393811609	0.462008889	0.64725545	0.70067006	0.811723113	0.981875457	1.030570815	1.21031652	1.22638093	1.27217625	1.198747639	1.34037031	1.43038514																								
0.497035451	0.610141739	0.649777526	0.753521793	0.903963795	1.039495496	1.21128119	1.2320326	1.3914348	1.53791677	1.61033834	1.64628496	1.58357897																								
0.405266624	0.650682232	0.728499608	0.747232977	0.707364531	1.057313237	1.39452065	1.3474982	1.34691986	1.39118175	1.39414764	1.3010208	1.34126011																								
0.377089863	0.498154833	0.735324493	0.839973333	0.856337025	0.985669184	1.22018555	1.31482583	1.38760798	1.47694555	1.38988414	1.297470462	1.340887086																								
0.322748603	0.42734275	0.678635925	0.793675533	0.948528529	0.952643075	1.020268667	1.095993765	1.361916639	1.50001019	1.52034212	1.71020965	1.59813542																								
0.31503197	0.470676105	0.558501954	0.747383516	0.892715274	1.07220585	1.090543336	1.242880031	1.3458074	1.44292292	1.6677276	1.42339697	1.38310856																								
0.368377661	0.588589129	0.627275875	0.62064389	0.775055372	1.029246329	1.16850284	1.25266839	1.32677737	1.45213008	1.41364689	1.52324441	1.5371141																								
0.404737606	0.507373614	0.642725412	0.700532216	0.727927198	0.890782721	1.036612622	1.25007083	1.248240432	1.43060692	0.990332931	0.51599184	1.235554203																								
0.352708368	0.525784469	0.629242427	0.730682041	0.782001248	0.80583257	0.965791781	1.006531717	1.24215959	1.320810898	1.100646661	1.16522963	1.46629382																								
0.326971191	0.503462526	0.669034879	0.787665955	0.957718258	0.986619565	1.06317947	1.115446482	1.31389528	1.4349929	1.562648073	1.4333403	1.46689118																								
0.386081365	0.508992332	0.666138301	0.794988638	0.909736588	1.029499976	1.10393711	1.094826922	1.28846182	1.44807517	1.5967901	1.342783668	1.68252193																								
0.489288238	0.546559282	0.648934595	0.767045514	0.862457327	0.953267396	1.081378341	1.19979257	1.20001697	1.20553918	1.361502665	1.377197601	1.69915317																								
0.40901797	0.582701986	0.640260628	0.758458131	0.888571047	0.924111665	1.035294552	1.161821378	1.109682438	1.160295818	1.333459146	1.281030089	1.21325107																								
0.346398556	0.508256027	0.641900918	0.741043085	0.881739431	0.953783844	1.062463184	1.09629841	1.224724179	1.27560092	1.25146073	1.174224326	1.372974249																								
0.30511706	0.447419531	0.605962064	0.754579594	0.852636744	0.952071579	1.064660379	1.11446828	1.219220437	1.234043468	1.282166044	1.39935871	1.46177729																								
0.346450376	0.505952458	0.6410819	0.78121324	0.96184034	1.09794638	1.18186161	1.27493799	1.30418453	1.47701463	1.50016392	1.73760323	1.52026134																								
0.329653541	0.519574483	0.652285154	0.77404446	0.902674835	1.049082275	1.11853565	1.28179423	1.4208071	1.52405823	1.55267209	1.92119447	1.65965238																								
0.339597386	0.525923185	0.704469373	0.878851541	1.001725644	1.1254004	1.39856113	1.49005817	1.56322836	1.61366724	1.81413939	1.99574433	2.22982968																								
0.382978687	0.489482591	0.664494102	0.915162656	1.11856036	1.2609021	1.37111288	1.5874197	1.65866429	1.9240475	1.92283575	2.07927632	2.31621199																								
0.290411609	0.508684432	0.665114976	0.808472144	0.975735006	1.22470357	1.3464161	1.5176903	1.58467716	1.62100973	2.17603071	1.75379734	2.28679933																								
0.270360079	0.409638974	0.642711156	0.823719852	0.974379476	1.17166434	1.30618953	1.51921456	1.61423419	1.64407634	1.71695646	2.04018048	2.08625889																								
0.288558723	0.441975922	0.564243498	0.78199228	1.13146386	1.28395947	1.4259477	1.69200945	1.83377091	1.80581269	1.96027938	2.18658045	2.20673042																								
0.316313298	0.454641924	0.616959116	0.751001784	0.893501859	1.15415696	1.30999151	1.370274953	1.69153765	1.81466513	1.73304554	1.65809597	2.23591917																								
0.403077834	0.463025965	0.570501887	0.689736711	0.786016934	0.887238343	1.144517813	1.200508701	1.37777706	1.89162519	1.45240322	1.60281008	2.62710859																								
0.407264208	0.530868995	0.556847276	0.647694558	0.732191368	0.801260619	0.942785955	1.046683754	1.20051774	0.63702886	1.087659782	1.869536944	1.63831505																								
0.403932415	0.497843572	0.650786302	0.69388099	0.750552411	0.826982384	0.893537281	0.912035665	1.019403391	1.096666397	0.83072101	1.46016392	1.65671957																								
#Survey_1																																				
0.1679663	0.348916962	0.425297847	0.643747165	0.998681674	1.085515902	1.166361975	1.354272964	1.552064357	1.60956385	1.806353252	1.703207717	2.556631711																								
0.241806885	0.360026274	0.489914366	0.572428132	0.713974694	1.057047615	1.100810545	0.98997982	1.07470938	1.083858965	1.493856997	1.073650592	1.721002384																								
0.250629338	0.362426062	0.48886538	0.622582099	0.758918998	0.999529461	1.191830006	1.388738724	1.481671874	1.674948189	1.327583196	1.446157361	2.071736997																								
0.234818632	0.394095063	0.485618114	0.615812039	0.75249829	0.868800603	1.40013969	1.091833069	1.245806038	1.743695044	1.614745772	1.599907499	2.561835063																								
0.195047263	0.345255066	0.452698721	0.636289459	0.716317818	0.845273957	0.995476252	1.236911227	1.274868436	1.093435016	2.164136591	2.122759889	2.341956381																								
0.270559811	0.356122108	0.435398589	0.524520272	0.695544842	0.777178395	0.868628883	0.956341492	1.133564145	1.369218529	1.679636286	2.007069233	2.122077698																								
0.300046639	0.347271938	0.446431093	0.513206002	0.588595774	0.739759188	0.839048308	0.978431141	1.171230429	1.189698431	1.64453364	0.892124582	1.579087376																								
0.176704531	0.363214382	0.43188785	0.514396298	0.616536393	0.654589781	0.89435365	0.888739562	1.005671382	1.026515557	1.068747725	1.117837174	1.132818272																								
0.15954771	0.38513389	0.503057712	0.568476505	0.605321716	0.713555653	0.775669527	1.024196736	1.03845261	1.088294635	1.018571313	1.205001789	1.270606541																								
0.156461855	0.371385691	0.492157904	0.581227863	0.688879628	0.731175096	0.85866908	0.889801421	1.055210286	1.145457672	1.215588093	1.32505156	1.816149229																								
0.284115607	0.384510047	0.549779557	0.646604274	0.783777712	0.828338326	0.880334834	0.964002276	1.067007408	1.200033561	1.300591383	1.278803243	1.247820486																								
