"file","caption","alt_text","category","png_time","StartTime"
"bio5_weightatsize.png","Weight-at-age for females",NA,"Bio",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"bio6_maturity.png","Spawning output at age (maturity x fecundity)",NA,"Bio",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.",NA,"Sel",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.",NA,"Sel",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.",NA,"Sel",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"sel11_timevary_surf_flt1sex1.png","Time-varying selectivity for Fishery",NA,"Sel",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"sel12_timevary_contour_flt1sex1.png","Time-varying selectivity for Fishery",NA,"Sel",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"sel13_age_flt1sex1.png","Ending year selectivity for Fishery",NA,"Sel",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"sel14_age_flt2sex1.png","Ending year selectivity for Acoustic_Survey",NA,"Sel",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"sel14_age_flt3sex1.png","Ending year selectivity for bottom_Survey",NA,"Sel",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"sel22_uncertaintysexFem.png","Uncertainty in selectivity for Acoustic_Survey ",NA,"Sel",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"ts7_Spawning_output.png","Spawning output",NA,"Timeseries",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"ts7_Spawning_output_with_95_asymptotic_intervals_intervals.png","Spawning output with ~95% asymptotic intervals",NA,"Timeseries",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"ts9_Relative_spawning_output.png","Relative spawning output: B/B_0",NA,"Timeseries",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"ts9_Relative_spawning_output_intervals.png","Relative spawning output: B/B_0 with ~95% asymptotic intervals",NA,"Timeseries",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"ts1_Total_biomass_(mt).png","Total biomass (mt)",NA,"Timeseries",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"ts4_Summary_biomass_(mt).png","Summary biomass (mt)",NA,"Timeseries",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"ts11_Age-0_recruits_(1000s).png","Age-0 recruits (1,000s)",NA,"Timeseries",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"ts11_Age-0_recruits_(1000s)_with_95_asymptotic_intervals.png","Age-0 recruits (1,000s) with ~95% asymptotic intervals",NA,"Timeseries",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
"ts_summaryF.png","Summary F (definition of F depends on setting in starter.ss)",NA,"Timeseries",2023-06-01 09:31:38.664186,"StartTime: Thu Jun 1 09:30:34 2023"
