name,no,label,cap,Alt,Filename
catch.pdf,1,catch,Pollock catch estimates (t) from the Eastern Bering Sea by season and region. The A-season is defined as from Jan-May and B-season from June-October.,,
catch_sex.pdf,2,catch_sex,Estimate of EBS pollock catch numbers by sex for the A season (January-May) and B seasons (June-October) and total.,,
catch_distn_a.png,3,catch_distn_a,"EBS pollock catch distribution during A-season, 2021--2023. Column height is proportional to total catch.",,
fsh_cpue.png,4,fsh_cpue,A-season (top) and B-season (bottom) EBS fleet-wide cumulative catch by hours observed fishing and relative pollock catch per hour of fishing (by sector, middle). Data were recorded by NMFS scientific observers.,,
catchp.png,5,prop_a_season,"Proportion of the annual EBS pollock TAC by month during the A-season, 2000--2023. The higher value observed since 2017 was due to Amendment 110 of the FMP to allow greater flexibility to avoid Chinook salmon.",,
catch_distn_b.png,6,catch_distn_b,"EBS pollock catch distribution during B-season, 2021--2023. Column height is proportional to total catch. Note that directed fishery for pollock generally is finished prior to October; the labels are indicative full-year catches.",,
cpue_bseason.png,7,bseas_cpue,B-season EBS fleet-wide nominal pollock catch (kg) per hour of fishing recorded by NMFS scientific observers.,,
roe.pdf,8,roe,"EBS pollock roe production in A and B seasons, 2000-2023.",,
fleet_dispersal.png,9,fleet_dispersal,"Estimated mean daily distance between operations, 2000-2023.",,
catage.png,10,catage,EBS pollock fishery estimated catch-at-age data (in number) for 1992--2022. Age 10 represents pollock age 10 and older. The 2012 year-class is shaded in orange.,,
bts_biom.pdf,11,bts_biom,Bottom-trawl survey biomass estimates with error bars representing 95% confidence intervals for the VAST model-based methods for EBS pollock.,,
bts_temp.pdf,12,bts_temp,"Bottom and surface temperatures for the Bering Sea from the NMFS summer bottom-trawl surveys (1982--2019, 2021-2023). Dashed lines represent mean values.",,
bts_temp_cpue.pdf,13,bts_temp_cpue,EBS pollock CPUE (shades = relative kg/hectare) and bottom temperature isotherms in degrees C; from the bottom trawl survey data 2011--2019 and 2021.,,
bts_3d.png,14,bts_3d,Bottom trawl survey pollock catch in kg per hectare for 2021-2023. Height of vertical lines are proportional to station-specific pollock densities by weight (kg per hectare) with constant scales for all years (red stars indicate tows where pollock were absent from the catch).,,
bts_age_comp.png,15,bts_age,"Pollock abundance levels by age and year as estimated directly from the NMFS bottom-trawl surveys (1990--2019,2021-2023). The 2012 and 2018 year-classes are shaded differently.",,
avo_map_yr.pdf,16,data_avomap, Maps of acoustic vessel-of-opportunity (AVO) index data 2006-2023. Grid cell size and shading is proportional to pollock backscatter.,,
vastage.png,17,vastage,Pollock abundance levels by age and year as estimated directly from the NMFS bottom-trawl surveys (1990--2019, 2021--2023) using standard 'design-based' (DB) and VAST approaches.,
ats_usv.png,18,ats_usv,Geographic dipiction of backscatter intensity as measured from USVs in 2020.,,
ats_vast.png,19,ats_vast,VAST model predicted log-density of pollock abundance based on acoustic backscatter from NMFS acoustic-trawl surveys (1994--2018) and from the 2020 USV transects.,,
fsh_wtage_comb.pdf,20,fsh_wtage_comb,"Recent fishery average weight-at-age anomaly (relative to the mean) by strata for ages 3--10, 2017--2021. Vertical shape reflects uncertainty in the data (wider shapes being more precise), colors are consistent with cohorts.",,
fsh_wtage_strata,21,fsh_wtage_strata,"Fishery average weight-at-age anomaly (relative to the mean) across strata and combined for all ages (3--10), and available years (1991--2022). Vertical shape reflects uncertainty in the data (wider shapes being more precise), colors are consistent with cohorts.",,
,22,fsh_wtage_strata_yr,"Recent fishery average weight-at-age anomaly (relative to the mean) by strata for ages 3--10, 2018--2022. Vertical shape reflects uncertainty in the data (wider shapes being more precise), colors are consistent with cohorts.",,
,23,fsh_lw_month,EBS pollock fishery body mass (given length) anomaly (standardized by overall mean body mass at each length) by month based on some over 700 thousand fish measurements from 1991--2023.,,
,24,fsh_lw_anom_str_yr_box,"EBS pollock fishery body mass (given length) anomaly (standardized by overall mean body mass at each length) by year and season/area strata, 1991--2023. Strata are defined as A-season (top), and B-season west of 170W (middle) and east of 170W (bottom)",,
fsh_lw_anom_yr_box.pdf,25,fsh_lw_anom_yr_box,"EBS pollock body mass (given length) anomaly (standardized by overall mean body mass at each length) by year, 1991--2023.",,
,26,fsh_lw_str_yr_mean,"EBS pollock body mass (given length) anomaly (standardized by overall mean body mass at each length) by year and season/area strata shown as mean values with a fitted loess smooth trend, 1991--2021, and the fishery (bottom) for EBS pollock.  ",,
vastage_vs_db.pdf,27,bts_vast_age,"Comparison of EBS pollock estimated proportions-at-age from the bottom trawl surveys using the standard design-based estimates and those using the VAST spatio-temporal model, 1982-2023 (no data from 2020).",,
cole2.png,28,cole2,"Estimated availability (i.e., fraction of pollock available to a survey gear type) for three select years (rows) for the bottom (BT) and acoustic (AT) trawl surveys (columns) from the combined base case model.",,
mod_data.pdf,30,mod_data,"Model runs comparing last year's assessment with the impact of sequentially adding new data (first 2023 catch and 2021 fishery catch-at-age, then the 2023 bottom trawl survey data point, then the acoustic-trawl and finally the AVO data.",,
mod_ats_eval1.pdf,31,mod_ats_eval1,"Model fits to different treatment and assumptions about index CPUE for the ATS time series where VAST CV20% and DB CV20% mean that the CVs for the index values between 1994 and 2023 each average 20% for the design-based and VAST treatments, respectively. The other cases use the sampling error and variance estimates arising from the methods.",,
